test_frame_mse_step,test_frame_mae_step,step,test_frame_mse_epoch,test_frame_mae_epoch,test_csi_16_epoch,test_csi_74_epoch,test_csi_133_epoch,test_csi_160_epoch,test_csi_181_epoch,test_csi_219_epoch,test_csi_avg_epoch,test_pod_16_epoch,test_pod_74_epoch,test_pod_133_epoch,test_pod_160_epoch,test_pod_181_epoch,test_pod_219_epoch,test_pod_avg_epoch,test_sucr_16_epoch,test_sucr_74_epoch,test_sucr_133_epoch,test_sucr_160_epoch,test_sucr_181_epoch,test_sucr_219_epoch,test_sucr_avg_epoch,test_bias_16_epoch,test_bias_74_epoch,test_bias_133_epoch,test_bias_160_epoch,test_bias_181_epoch,test_bias_219_epoch,test_bias_avg_epoch,epoch
0.004548467695713043,0.03924689441919327,55,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
0.006264496594667435,0.04861542209982872,56,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
0.002016886603087187,0.0306027140468359,57,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
0.009083573706448078,0.06164401397109032,58,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
0.013690877705812454,0.08826281130313873,59,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
0.0006778790848329663,0.014944864436984062,60,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
0.0004968594876118004,0.015257270075380802,61,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
0.00030731421429663897,0.016400806605815887,62,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
0.003870245534926653,0.035179369151592255,63,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
0.00487355375662446,0.04098203405737877,64,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
0.005735072772949934,0.04628780856728554,65,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
0.007070790510624647,0.05238647013902664,66,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
0.004328133538365364,0.038347385823726654,67,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
0.002885614288970828,0.027542538940906525,68,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
0.003982044290751219,0.03375463932752609,69,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
0.004912943579256535,0.03999702259898186,70,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
0.004891733173280954,0.041994910687208176,71,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
0.0006369513575918972,0.011477555148303509,72,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
0.0007617418305017054,0.01236916333436966,73,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
0.000872276199515909,0.012623422779142857,74,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
0.0002317281614523381,0.010940728709101677,75,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
0.0003690844459924847,0.01210002787411213,76,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
0.00032301456667482853,0.011558663100004196,77,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
0.0005552524235099554,0.01341412216424942,78,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
0.00038003840018063784,0.012615937739610672,79,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
0.00045355973998084664,0.012384297326207161,80,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
0.00032446588738821447,0.015477375127375126,81,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
0.0003786857414525002,0.015614273026585579,82,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
0.0005009083542972803,0.015376236289739609,83,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
0.0003035679110325873,0.01600637100636959,84,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
0.0005659428425133228,0.015980299562215805,85,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
0.0010218360694125295,0.01655554585158825,86,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
0.0011643654434010386,0.017064059153199196,87,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
0.0004704108869191259,0.015716824680566788,88,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
0.0004022028297185898,0.016725990921258926,89,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
0.0021427972242236137,0.02235295996069908,90,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
0.0016887312522158027,0.019746802747249603,91,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
0.0017670270754024386,0.020041372627019882,92,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
0.007909034378826618,0.05112534016370773,93,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
0.007485848851501942,0.05286140739917755,94,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
0.008541177026927471,0.055603403598070145,95,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
0.0010064734378829598,0.015324724838137627,96,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
0.005022547673434019,0.03237217292189598,97,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
0.006987868808209896,0.04028889909386635,98,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
0.006876977626234293,0.04093942418694496,99,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
0.010551328770816326,0.05166041851043701,100,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
0.012349988333880901,0.05967648699879646,101,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
0.015089558437466621,0.07136325538158417,102,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
0.01130786444991827,0.061774641275405884,103,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
0.00921714399009943,0.05812668800354004,104,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
0.010732968337833881,0.06289589405059814,105,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
0.010794316418468952,0.06277963519096375,106,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
0.008750184439122677,0.05608651414513588,107,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
0.0012660049833357334,0.020686432719230652,108,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
0.0009584114886820316,0.01914004422724247,109,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
0.0004851488338317722,0.012153588235378265,110,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
0.0004928996786475182,0.016065800562500954,111,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
0.01066406350582838,0.0592273473739624,112,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
0.019787298515439034,0.09995586425065994,113,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
0.009283221326768398,0.0657186210155487,114,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
0.008926432579755783,0.06347214430570602,115,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
0.010240540839731693,0.06980299204587936,116,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
0.00023312894336413592,0.012593693099915981,117,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
0.005067311692982912,0.03172354772686958,118,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
0.00747666135430336,0.048520151525735855,119,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
0.00027811594191007316,0.015136729925870895,120,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
0.003575159702450037,0.03465614840388298,121,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
0.00838172435760498,0.06404506415128708,122,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
0.0030338549986481667,0.027913566678762436,123,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
0.003599346149712801,0.031199177727103233,124,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
0.004401018843054771,0.03515171632170677,125,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
0.002954893046990037,0.0276060588657856,126,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
0.004136255942285061,0.035974327474832535,127,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
0.003949753474444151,0.03793805465102196,128,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
0.0006973791751079261,0.016173841431736946,129,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
0.000782655319198966,0.016567321494221687,130,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
0.00044779840391129255,0.01491639669984579,131,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
0.0022478876635432243,0.021819934248924255,132,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
0.00266165635548532,0.0249685887247324,133,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
0.0019936268217861652,0.0214315727353096,134,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
0.007130288053303957,0.050137706100940704,135,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
0.006049302872270346,0.04591925069689751,136,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
0.005645970348268747,0.043562475591897964,137,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
0.0058518326841294765,0.043985988944768906,138,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
0.005744121037423611,0.044554855674505234,139,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
0.006101708393543959,0.045311614871025085,140,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
0.0003734630881808698,0.016287194564938545,141,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
0.00029797424213029444,0.01550215668976307,142,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
0.0003130345430690795,0.01654781959950924,143,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
0.0028976532630622387,0.028531823307275772,144,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
0.002772916341200471,0.027751196175813675,145,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
0.0027806246653199196,0.02734922431409359,146,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
0.0025490550324320793,0.025747012346982956,147,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
0.0032479227520525455,0.03036036714911461,148,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
0.003974951338022947,0.03306759521365166,149,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
0.0035953570622950792,0.03307021036744118,150,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
0.004660557955503464,0.03732917830348015,151,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
0.004290092270821333,0.0349385105073452,152,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
0.0003065995406359434,0.0122733935713768,153,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
0.0017842153320088983,0.020951243117451668,154,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
0.003324043471366167,0.029955055564641953,155,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
0.003682834794744849,0.03297987952828407,156,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
0.003308621933683753,0.03072533570230007,157,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
0.0033919380512088537,0.030760301277041435,158,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
0.003955599386245012,0.0340266190469265,159,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
0.003273597452789545,0.02963101677596569,160,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
