lr-AdamW/pg1,lr-AdamW/pg2,step,train_loss,epoch
2.1551724137931035e-06,2.1551724137931035e-06,1,,
2.1551724137931035e-06,2.1551724137931035e-06,1,,
2.1551724137931035e-06,2.1551724137931035e-06,1,,
2.1551724137931035e-06,2.1551724137931035e-06,1,,
2.1551724137931035e-06,2.1551724137931035e-06,1,,
2.1551724137931035e-06,2.1551724137931035e-06,1,,
2.1551724137931035e-06,2.1551724137931035e-06,1,,
2.1551724137931035e-06,2.1551724137931035e-06,1,,
2.1551724137931035e-06,2.1551724137931035e-06,1,,
2.1551724137931035e-06,2.1551724137931035e-06,1,,
2.1551724137931035e-06,2.1551724137931035e-06,1,,
2.1551724137931035e-06,2.1551724137931035e-06,1,,
2.1551724137931035e-06,2.1551724137931035e-06,1,,
2.1551724137931035e-06,2.1551724137931035e-06,1,,
2.1551724137931035e-06,2.1551724137931035e-06,1,,
2.1551724137931035e-06,2.1551724137931035e-06,1,,
,,1,1.4253904819488525,0
6.46551724137931e-06,6.46551724137931e-06,3,,
6.46551724137931e-06,6.46551724137931e-06,3,,
6.46551724137931e-06,6.46551724137931e-06,3,,
6.46551724137931e-06,6.46551724137931e-06,3,,
6.46551724137931e-06,6.46551724137931e-06,3,,
6.46551724137931e-06,6.46551724137931e-06,3,,
6.46551724137931e-06,6.46551724137931e-06,3,,
6.46551724137931e-06,6.46551724137931e-06,3,,
6.46551724137931e-06,6.46551724137931e-06,3,,
6.46551724137931e-06,6.46551724137931e-06,3,,
6.46551724137931e-06,6.46551724137931e-06,3,,
6.46551724137931e-06,6.46551724137931e-06,3,,
6.46551724137931e-06,6.46551724137931e-06,3,,
6.46551724137931e-06,6.46551724137931e-06,3,,
6.46551724137931e-06,6.46551724137931e-06,3,,
6.46551724137931e-06,6.46551724137931e-06,3,,
,,3,1.7321830987930298,0
1.0775862068965518e-05,1.0775862068965518e-05,5,,
1.0775862068965518e-05,1.0775862068965518e-05,5,,
1.0775862068965518e-05,1.0775862068965518e-05,5,,
1.0775862068965518e-05,1.0775862068965518e-05,5,,
1.0775862068965518e-05,1.0775862068965518e-05,5,,
1.0775862068965518e-05,1.0775862068965518e-05,5,,
1.0775862068965518e-05,1.0775862068965518e-05,5,,
1.0775862068965518e-05,1.0775862068965518e-05,5,,
1.0775862068965518e-05,1.0775862068965518e-05,5,,
1.0775862068965518e-05,1.0775862068965518e-05,5,,
1.0775862068965518e-05,1.0775862068965518e-05,5,,
1.0775862068965518e-05,1.0775862068965518e-05,5,,
1.0775862068965518e-05,1.0775862068965518e-05,5,,
1.0775862068965518e-05,1.0775862068965518e-05,5,,
1.0775862068965518e-05,1.0775862068965518e-05,5,,
1.0775862068965518e-05,1.0775862068965518e-05,5,,
,,5,1.530003309249878,0
1.5086206896551724e-05,1.5086206896551724e-05,7,,
1.5086206896551724e-05,1.5086206896551724e-05,7,,
1.5086206896551724e-05,1.5086206896551724e-05,7,,
1.5086206896551724e-05,1.5086206896551724e-05,7,,
1.5086206896551724e-05,1.5086206896551724e-05,7,,
1.5086206896551724e-05,1.5086206896551724e-05,7,,
1.5086206896551724e-05,1.5086206896551724e-05,7,,
1.5086206896551724e-05,1.5086206896551724e-05,7,,
1.5086206896551724e-05,1.5086206896551724e-05,7,,
1.5086206896551724e-05,1.5086206896551724e-05,7,,
1.5086206896551724e-05,1.5086206896551724e-05,7,,
1.5086206896551724e-05,1.5086206896551724e-05,7,,
1.5086206896551724e-05,1.5086206896551724e-05,7,,
1.5086206896551724e-05,1.5086206896551724e-05,7,,
1.5086206896551724e-05,1.5086206896551724e-05,7,,
1.5086206896551724e-05,1.5086206896551724e-05,7,,
,,7,1.4884268045425415,0
