lr-AdamW/pg1,lr-AdamW/pg2,step,train_loss,epoch,valid_frame_mse_step,valid_frame_mae_step,valid_frame_mse_epoch,valid_frame_mae_epoch,valid_loss_epoch,valid_csi_16_epoch,valid_csi_74_epoch,valid_csi_133_epoch,valid_csi_160_epoch,valid_csi_181_epoch,valid_csi_219_epoch,valid_csi_avg_epoch,valid_pod_16_epoch,valid_pod_74_epoch,valid_pod_133_epoch,valid_pod_160_epoch,valid_pod_181_epoch,valid_pod_219_epoch,valid_pod_avg_epoch,valid_sucr_16_epoch,valid_sucr_74_epoch,valid_sucr_133_epoch,valid_sucr_160_epoch,valid_sucr_181_epoch,valid_sucr_219_epoch,valid_sucr_avg_epoch,valid_bias_16_epoch,valid_bias_74_epoch,valid_bias_133_epoch,valid_bias_160_epoch,valid_bias_181_epoch,valid_bias_219_epoch,valid_bias_avg_epoch
9.993519472417321e-05,9.993519472417321e-05,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
9.993519472417321e-05,9.993519472417321e-05,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
9.993519472417321e-05,9.993519472417321e-05,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,2,0.022564353421330452,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
9.988481000060555e-05,9.988481000060555e-05,3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
9.988481000060555e-05,9.988481000060555e-05,3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
9.988481000060555e-05,9.988481000060555e-05,3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
9.988481000060555e-05,9.988481000060555e-05,3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
9.988481000060555e-05,9.988481000060555e-05,3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
9.988481000060555e-05,9.988481000060555e-05,3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
9.988481000060555e-05,9.988481000060555e-05,3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
9.988481000060555e-05,9.988481000060555e-05,3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
9.988481000060555e-05,9.988481000060555e-05,3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
9.988481000060555e-05,9.988481000060555e-05,3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
9.988481000060555e-05,9.988481000060555e-05,3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
9.988481000060555e-05,9.988481000060555e-05,3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
9.988481000060555e-05,9.988481000060555e-05,3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
9.988481000060555e-05,9.988481000060555e-05,3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
9.988481000060555e-05,9.988481000060555e-05,3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
9.988481000060555e-05,9.988481000060555e-05,3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,3,0.05727819725871086,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
9.98200545526992e-05,9.98200545526992e-05,4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
9.98200545526992e-05,9.98200545526992e-05,4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
9.98200545526992e-05,9.98200545526992e-05,4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
9.98200545526992e-05,9.98200545526992e-05,4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
9.98200545526992e-05,9.98200545526992e-05,4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
9.98200545526992e-05,9.98200545526992e-05,4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
9.98200545526992e-05,9.98200545526992e-05,4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
9.98200545526992e-05,9.98200545526992e-05,4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
9.98200545526992e-05,9.98200545526992e-05,4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
9.98200545526992e-05,9.98200545526992e-05,4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
9.98200545526992e-05,9.98200545526992e-05,4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
9.98200545526992e-05,9.98200545526992e-05,4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
9.98200545526992e-05,9.98200545526992e-05,4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
9.98200545526992e-05,9.98200545526992e-05,4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
9.98200545526992e-05,9.98200545526992e-05,4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
9.98200545526992e-05,9.98200545526992e-05,4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,4,0.03347880020737648,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
9.974094705380097e-05,9.974094705380097e-05,5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
