lr-AdamW/pg1,lr-AdamW/pg2,step,train_loss,epoch
0.0,0.0,0,,
0.0,0.0,0,,
0.0,0.0,0,,
0.0,0.0,0,,
0.0,0.0,0,,
0.0,0.0,0,,
0.0,0.0,0,,
0.0,0.0,0,,
0.0,0.0,0,,
0.0,0.0,0,,
0.0,0.0,0,,
0.0,0.0,0,,
0.0,0.0,0,,
0.0,0.0,0,,
0.0,0.0,0,,
0.0,0.0,0,,
,,0,0.16320349276065826,0
4.484304932735426e-07,4.484304932735426e-07,1,,
4.484304932735426e-07,4.484304932735426e-07,1,,
4.484304932735426e-07,4.484304932735426e-07,1,,
4.484304932735426e-07,4.484304932735426e-07,1,,
4.484304932735426e-07,4.484304932735426e-07,1,,
4.484304932735426e-07,4.484304932735426e-07,1,,
4.484304932735426e-07,4.484304932735426e-07,1,,
4.484304932735426e-07,4.484304932735426e-07,1,,
4.484304932735426e-07,4.484304932735426e-07,1,,
4.484304932735426e-07,4.484304932735426e-07,1,,
4.484304932735426e-07,4.484304932735426e-07,1,,
4.484304932735426e-07,4.484304932735426e-07,1,,
4.484304932735426e-07,4.484304932735426e-07,1,,
4.484304932735426e-07,4.484304932735426e-07,1,,
4.484304932735426e-07,4.484304932735426e-07,1,,
4.484304932735426e-07,4.484304932735426e-07,1,,
,,1,0.13071389496326447,0
8.968609865470852e-07,8.968609865470852e-07,2,,
8.968609865470852e-07,8.968609865470852e-07,2,,
8.968609865470852e-07,8.968609865470852e-07,2,,
8.968609865470852e-07,8.968609865470852e-07,2,,
8.968609865470852e-07,8.968609865470852e-07,2,,
8.968609865470852e-07,8.968609865470852e-07,2,,
8.968609865470852e-07,8.968609865470852e-07,2,,
8.968609865470852e-07,8.968609865470852e-07,2,,
8.968609865470852e-07,8.968609865470852e-07,2,,
8.968609865470852e-07,8.968609865470852e-07,2,,
8.968609865470852e-07,8.968609865470852e-07,2,,
8.968609865470852e-07,8.968609865470852e-07,2,,
8.968609865470852e-07,8.968609865470852e-07,2,,
8.968609865470852e-07,8.968609865470852e-07,2,,
8.968609865470852e-07,8.968609865470852e-07,2,,
8.968609865470852e-07,8.968609865470852e-07,2,,
,,2,0.19819553196430206,0
1.345291479820628e-06,1.345291479820628e-06,3,,
1.345291479820628e-06,1.345291479820628e-06,3,,
1.345291479820628e-06,1.345291479820628e-06,3,,
1.345291479820628e-06,1.345291479820628e-06,3,,
1.345291479820628e-06,1.345291479820628e-06,3,,
1.345291479820628e-06,1.345291479820628e-06,3,,
1.345291479820628e-06,1.345291479820628e-06,3,,
1.345291479820628e-06,1.345291479820628e-06,3,,
1.345291479820628e-06,1.345291479820628e-06,3,,
1.345291479820628e-06,1.345291479820628e-06,3,,
1.345291479820628e-06,1.345291479820628e-06,3,,
1.345291479820628e-06,1.345291479820628e-06,3,,
1.345291479820628e-06,1.345291479820628e-06,3,,
1.345291479820628e-06,1.345291479820628e-06,3,,
1.345291479820628e-06,1.345291479820628e-06,3,,
1.345291479820628e-06,1.345291479820628e-06,3,,
,,3,0.1273328810930252,0
1.7937219730941704e-06,1.7937219730941704e-06,4,,
1.7937219730941704e-06,1.7937219730941704e-06,4,,
1.7937219730941704e-06,1.7937219730941704e-06,4,,
1.7937219730941704e-06,1.7937219730941704e-06,4,,
1.7937219730941704e-06,1.7937219730941704e-06,4,,
1.7937219730941704e-06,1.7937219730941704e-06,4,,
1.7937219730941704e-06,1.7937219730941704e-06,4,,
1.7937219730941704e-06,1.7937219730941704e-06,4,,
1.7937219730941704e-06,1.7937219730941704e-06,4,,
1.7937219730941704e-06,1.7937219730941704e-06,4,,
1.7937219730941704e-06,1.7937219730941704e-06,4,,
1.7937219730941704e-06,1.7937219730941704e-06,4,,
1.7937219730941704e-06,1.7937219730941704e-06,4,,
1.7937219730941704e-06,1.7937219730941704e-06,4,,
1.7937219730941704e-06,1.7937219730941704e-06,4,,
1.7937219730941704e-06,1.7937219730941704e-06,4,,
,,4,0.13966786861419678,0
2.242152466367713e-06,2.242152466367713e-06,5,,
2.242152466367713e-06,2.242152466367713e-06,5,,
2.242152466367713e-06,2.242152466367713e-06,5,,
2.242152466367713e-06,2.242152466367713e-06,5,,
2.242152466367713e-06,2.242152466367713e-06,5,,
2.242152466367713e-06,2.242152466367713e-06,5,,
2.242152466367713e-06,2.242152466367713e-06,5,,
2.242152466367713e-06,2.242152466367713e-06,5,,
2.242152466367713e-06,2.242152466367713e-06,5,,
2.242152466367713e-06,2.242152466367713e-06,5,,
2.242152466367713e-06,2.242152466367713e-06,5,,
2.242152466367713e-06,2.242152466367713e-06,5,,
2.242152466367713e-06,2.242152466367713e-06,5,,
2.242152466367713e-06,2.242152466367713e-06,5,,
2.242152466367713e-06,2.242152466367713e-06,5,,
2.242152466367713e-06,2.242152466367713e-06,5,,
,,5,0.10342150926589966,0
2.690582959641256e-06,2.690582959641256e-06,6,,
2.690582959641256e-06,2.690582959641256e-06,6,,
2.690582959641256e-06,2.690582959641256e-06,6,,
2.690582959641256e-06,2.690582959641256e-06,6,,
2.690582959641256e-06,2.690582959641256e-06,6,,
2.690582959641256e-06,2.690582959641256e-06,6,,
2.690582959641256e-06,2.690582959641256e-06,6,,
2.690582959641256e-06,2.690582959641256e-06,6,,
2.690582959641256e-06,2.690582959641256e-06,6,,
2.690582959641256e-06,2.690582959641256e-06,6,,
2.690582959641256e-06,2.690582959641256e-06,6,,
2.690582959641256e-06,2.690582959641256e-06,6,,
2.690582959641256e-06,2.690582959641256e-06,6,,
2.690582959641256e-06,2.690582959641256e-06,6,,
2.690582959641256e-06,2.690582959641256e-06,6,,
2.690582959641256e-06,2.690582959641256e-06,6,,
,,6,0.09576056152582169,0
